Row number,Subject,Group,Date,Weight,Bodylength,Sex,life_history,temp_new,temp_new_year,temp_utprop,temp_ltprop,temp_utprop_year,temp_ltprop_year,BirthWithinYear,BirthWithinNextYear,BirthWithinLast5Months,DOBnextyear,DaysUntilBirth,onemonthfruit,twelvemonthfruit,age,DOB,firstyeartemp_new,firstyearfruit,firstyeartemp_ut_prop,firstyeartemp_lt_prop,day_of_year,time_since_first_entry,decades_since_first_entry,BirthWithinYearfactor,BirthWithinNextYearfactor,BirthWithinLast5Monthsfactor
1,Nono,N,2008-05-21,1490,NA,M,territory_holder,19.83770974,21.72828031,0,0.499633431,0.018302681,0.345533737,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,8.747433265,0.874743326,unknown,unknown,no birth
2,AFconPUNCH/,A500,2021-07-22,1550,73,M,territory_holder,15.69726015,22.47182288,0,0.731668502,0.025153844,0.33329024,0,1,0,2021-12-07,138,38.08366574,NA,NA,NA,NA,NA,NA,NA,204,21.91649555,2.191649555,no birth,birth,no birth
3,Anacleto/,Colman,2002-05-23,1150,73,M,territory_holder,21.5658055,NA,0,0.340059076,NA,NA,1,1,0,2002-10-25,155,NA,NA,NA,NA,NA,NA,NA,NA,144,2.751540041,0.275154004,birth,birth,no birth
4,Anacleto/,Colman,2003-09-15,1125,NA,M,territory_holder,17.55456423,22.77534808,0.023067633,0.618066535,0.021488213,0.307383935,1,1,0,2003-11-06,52,37.72660754,NA,NA,NA,NA,NA,NA,NA,259,4.065708419,0.406570842,birth,birth,no birth
5,Anacleto/,Colman,2004-03-17,1220,NA,M,territory_holder,25.81553083,22.58776575,0.044880785,0.092141612,0.021872214,0.321780457,1,0,1,NA,NA,31.13117047,1421.812977,NA,NA,NA,NA,NA,NA,77,4.569472964,0.456947296,birth,no birth,birth
6,Anacleto/,Colman,2004-09-23,1140,NA,M,territory_holder,20.51829608,22.36490344,0.039351852,0.53234127,0.022961219,0.336485524,1,2,0,NA,NA,205.4478146,1474.420974,NA,NA,NA,NA,NA,NA,267,5.089664613,0.508966461,birth,unknown,no birth
7,Anacleto/,Colman,2005-03-10,1230,NA,M,territory_holder,27.85962961,22.34038113,0.09826172,0.020697862,0.021452883,0.331586505,0,1,0,2005-10-01,205,546.5045761,10261.30534,NA,NA,NA,NA,NA,NA,70,5.549623546,0.554962355,no birth,birth,no birth
8,Anacleto/,Colman,2010-05-04,1155,65.5,M,territory_holder,21.41593369,22.42728961,0.009408602,0.401249522,0.02615731,0.332195561,1,1,0,2010-10-28,177,570.9165245,5291.146718,NA,NA,NA,NA,NA,NA,125,10.69952088,1.069952088,birth,birth,no birth
9,Anana/,Colman,2002-05-02,1325,74.5,F,territory_holder,23.02404862,NA,0,0.204765042,NA,NA,1,1,0,2002-10-25,176,NA,NA,NA,NA,NA,NA,NA,NA,123,2.694045175,0.269404517,birth,birth,no birth
10,Anana/,Colman,2004-01-13,1335,NA,F,territory_holder,26.56810489,22.56715347,0.009530792,0.059532917,0.019993165,0.323025215,1,0,1,NA,NA,192.5617166,NA,NA,NA,NA,NA,NA,NA,13,4.394250513,0.439425051,birth,no birth,birth
11,Anastasia/,Colman,2003-06-23,926.6666667,69,F,predispersal,19.7228401,22.76877504,0,0.512271995,0.019604672,0.309349596,1,1,0,2003-11-06,136,103.2339532,NA,1.734246575,2001-09-28,24.25872283,NA,0.012188172,0.305339283,175,3.835728953,0.383572895,birth,birth,no birth
12,Andre/,Colman,2011-02-02,1060,NA,M,predispersal,28.04632209,21.83192046,0.039621318,0,0.016888744,0.373692248,1,1,1,2011-10-01,241,1068.196652,5677.275627,2.175342466,2008-11-30,22.51776872,3774.747969,0.029447887,0.332900629,33,11.44969199,1.144969199,birth,birth,birth
13,Anemona/,Colman,2012-06-18,1175,NA,F,predispersal,18.72851216,23.19291623,0,0.548796166,0.050558136,0.30522112,1,0,0,NA,NA,5.996750525,1134.660279,1.64109589,2010-10-28,22.75520389,5499.457902,0.009780027,0.310569456,170,12.82409309,1.282409309,birth,no birth,no birth
14,Angelita/,Colman,2001-04-04,985,70.5,F,predispersal,26.32743877,22.40831666,0.019645969,0.076182583,0.021947581,0.31999754,1,1,0,2001-09-28,177,NA,NA,1.509589041,1999-10-01,22.21850989,NA,NA,NA,95,1.618069815,0.161806982,birth,birth,no birth
15,Angelita/,Colman,2002-02-17,1240,71,F,predispersal,26.27639163,NA,0.025603865,0.016847826,NA,NA,1,1,1,2002-10-25,250,NA,NA,2.383561644,1999-10-01,22.21850989,NA,NA,NA,48,2.491444216,0.249144422,birth,birth,birth
16,Anibal/,Colman,2002-05-23,880,68,M,predispersal,21.5658055,NA,0,0.340059076,NA,NA,1,1,0,2002-10-25,155,NA,NA,1.64109589,2000-10-01,26.14267278,NA,NA,NA,144,2.751540041,0.275154004,birth,birth,no birth
17,Anibal/,Solitario,2003-10-16,1005,NA,M,floater,NA,22.65308185,NA,NA,0.021980624,0.316981832,2,2,0,NA,NA,NA,NA,3.04109589,2000-10-01,26.14267278,NA,NA,NA,290,4.150581793,0.415058179,unknown,unknown,no birth
18,Anibal/,P300,2007-11-20,1012.5,NA,M,territory_holder,23.55085604,22.24489488,0.024671682,0.241020048,0.024349295,0.320895185,2,1,0,2007-12-17,27,526.9850349,175952.3277,7.139726027,2000-10-01,26.14267278,NA,NA,NA,325,8.246406571,0.824640657,unknown,birth,no birth
19,Aniceto/,Colman,2021-05-08,1300,NA,M,territory_holder,21.36472987,22.73401746,0,0.379786338,0.025153844,0.309144133,2,1,2,2021-09-25,140,0,NA,NA,NA,NA,NA,NA,NA,129,21.71115674,2.171115674,unknown,birth,unknown
20,Anita/,Colman,2007-10-08,735,72,F,predispersal,22.88354371,22.47345213,0.027115475,0.329710145,0.023721325,0.303294004,1,1,0,2007-11-01,24,53.24921724,8684.546148,2.019178082,2005-10-01,21.77480491,1011.669216,0.027440362,0.315682521,282,8.128678987,0.812867899,birth,birth,no birth
21,Anita/,Colman,2008-05-19,980,73,F,predispersal,19.45908071,21.65953823,0,0.511730205,0.018302681,0.34992908,1,1,0,2008-11-30,195,11.5636609,1063.688084,2.632876712,2005-10-01,21.77480491,1011.669216,0.027440362,0.315682521,140,8.741957563,0.874195756,birth,birth,no birth
22,Anselmo/,Colman,2009-02-23,1000,75,M,predispersal,27.2966111,22.26479532,0.01899252,0.00672043,0.019251547,0.342628885,1,1,1,2009-10-22,241,944.9444567,NA,2.375342466,2006-10-10,22.78141152,8684.546148,0.024466481,0.301244824,54,9.508555784,0.950855578,birth,birth,birth
23,Antonia/,Colman,2004-12-22,1120,NA,F,territory_holder,26.38609573,22.29788715,0.005376344,0.00672043,0.017207129,0.331248528,0,1,0,2005-10-01,283,264.2408978,2099.646508,NA,NA,NA,NA,NA,NA,357,5.336071184,0.533607118,no birth,birth,no birth
24,Antonia/,Colman,2008-01-25,1240,75,F,territory_holder,28.13320636,22.18416126,0.067321178,0.005610098,0.025448131,0.324424068,1,1,1,2008-11-30,310,135.7533815,8759.533517,NA,NA,NA,NA,NA,NA,25,8.427104723,0.842710472,birth,birth,birth
25,Anubis/,Colman,2021-08-11,1125,72,M,predispersal,15.95986676,22.29167233,0,0.683521829,0.025153844,0.340723919,2,1,2,2021-09-25,45,13.37735975,NA,2.863013699,2018-10-01,23.7788246,1727.58363,0.024677748,0.296087423,224,21.97125257,2.197125257,unknown,birth,unknown
